id,产品类型,价格,传感器尺寸,传感器描述,传感器类型,型号,快门类型,显示屏类型,最高分辨率,有效像素,tags
112,消费，长焦,8999,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX10 III,电子快门,旋转屏,5472×3648,2010万,防抖性 防抖 机震 操作 操控性 可玩性
113,单反,2699,22.3×14.9mm,,CMOS,佳能1500D(单机),电子控制纵走式焦平面快门,,,2410万,
114,消费，长焦,1899,1/2.3英寸,,CMOS,佳能SX720 HS,,高清屏,5184×3888,2030万,操作 操控性 可玩性 结构 外形 外观 体积 厚度
115,高端单反,2.2万,全画幅（36*24mm）,,CMOS,佳能5D Mark IV套机(24-70mm),电子控制纵走式焦平面快门,触摸屏,6720×4480,3040万,结构 外形 外观 蒙皮 风格 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能
116,消费，长焦,8600,1英寸,,,徕卡V-LUX(Typ 114),,旋转屏，OLED屏,,,操作 操控性 可玩性 工艺 做工 设计 外壳 机身 质地 菜单功能 按键 功能
117,消费，长焦,2299,1/2.3英寸,,背照式CMOS,佳能SX60 HS,,旋转屏，高清屏,4608×3456,1610万,防抖性 防抖 机震 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观
118,微单,2.19万,全画幅,,背照式CMOS,索尼A7 III套机(FE 24-105mm G OSS),机械电子快门,触摸屏,,2420万,追焦 追踪
119,入门单反,1888,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D3300(单机),电子控制纵走式焦平面快门,高清屏,6000×4000,2416万,工艺 做工 设计 使用体验 使用 操作 操控性 可玩性 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
120,微单,6190,APS-C画幅（23.5*15.6mm）,,X-Trans CMOS III,富士X-E3(单机),电子控制纵走式焦平面快门,触摸屏,6000×4000,2430万,菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄
121,消费，卡片,2499,1英寸,,CMOS,佳能G9 X Mark II,,触摸屏,,2010万,
122,中端单反,5918,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS 77D套机(18-135mm IS USM),电子控制纵走式焦平面快门,触摸屏,6000×4000,2420万,
123,微单,3599,APS画幅（23.6*15.6mm）,,X-Trans CMOS II,富士X-T10(单机),电子控制纵走式焦平面快门,旋转屏,,1630万,工艺 做工 设计 操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄
124,入门单反,2688,APS画幅（22.3*14.9mm）,,CMOS,佳能1300D(单机),电子控制纵走式焦平面快门,,5184×3456,1800万,携带 便携性
125,消费，卡片，专业,2999,APS画幅（23.7*15.7mm）,,CMOS,理光GR,,高清屏,4928×3264,1620万,携带 便携性 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 菜单功能 按键 功能 外壳 机身 质地 蒙皮 风格
126,消费，长焦,3499,1/2.3英寸,,CMOS,佳能SX70 HS,电子快门,旋转屏,5184×3888,2030万,
127,卡片，旁轴数码,7759,APS画幅（23.6*15.6mm）,,X-Trans CMOS II,富士X100T,机械电子快门,高清屏,4896×3264,1630万,工艺 做工 设计
128,微单,3.85万,全画幅（35.6*23.8mm）,,Exmor RS CMOS,索尼ILCE-9套机(24-70mm GM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
129,消费，专业,1.22万,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼RX1R,,旋转屏，高清屏,6000×4000,2430万,体积 厚度 工艺 做工 设计 携带 便携性
130,入门单反,2799,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-55mm VR),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
131,微单,5499,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS M6套机(18-150mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,操作 操控性 可玩性 结构 外形 外观 携带 便携性 续航 电池 外壳 机身 质地 工艺 做工 设计
132,消费，卡片,7900,,,CMOS,徕卡D-Lux(Typ 109),,高清屏,4112×3088,1280万,结构 外形 外观
133,入门单反,4688,APS画幅（23.5*15.6mm）,除尘系统：清洁影像传感器，影像除尘参考数据,CMOS,尼康D5500(单机),电子控制纵走式焦平面快门,触摸屏，翻折屏，高清屏,6000×4000,2416万,菜单功能 按键 功能 操作 操控性 可玩性 使用体验 使用 手握 持握 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
134,中端单反,2999,APS画幅（23.7*15.7mm）,除尘：感光元件抖动和SP镀膜,CMOS,宾得K-50(单机),电子控制纵走式焦平快门,高清屏,4928×3264,1628万,菜单功能 按键 功能 工艺 做工 设计 防水性 防尘 三防 防滑性 外壳 机身 质地 携带 便携性 使用体验 使用
135,消费，专业,3290,4/3画幅（15.5*11.6mm）,,Live MOS,松下LX100,机械电子快门,高清屏,4112×3088,1280万,体积 厚度 菜单功能 按键 功能 手感 触感 握感 握把 握持 质感 手柄
136,高端单反,1.1万,全画幅（35.9*24mm）,,CMOS,佳能6D Mark II套机(24-105mm IS STM),电子控制纵走式焦平面快门,触摸屏,6240×4160,2620万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 外壳 机身 质地 操作 操控性 可玩性 携带 便携性 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄
137,,概念产品,,,BSI-CMOS,索尼A7SIII,,旋转屏,,1540万,
138,高端单反,1.15万,全画幅（35.8*23.9mm）,自动，手动，添加除尘数据,CMOS,佳能6D套机(24-105mm),电子控制焦平面快门,高清屏,5472×3648,2020万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 追焦 追踪 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 夜拍 感光 重量 分量
139,微单,1.65万,4/3画幅（17.3*13mm）,,Live MOS,松下GH5s,电子控制纵走式焦平面快门,触摸屏，旋转屏,,1028万,
140,微单,1.93万,全画幅,,背照式CMOS,索尼A7 III套机(FE 24-70mm ZA OSS),机械电子快门,触摸屏,,2420万,追焦 追踪
141,微单,1.51万,全画幅,,背照式CMOS,索尼A7 III套机(FE 28-70mm OSS),机械电子快门,触摸屏,,2420万,追焦 追踪
142,微单,4.62万,全画幅（24*36mm）,,CMOS,徕卡SL(Typ 601),,触摸屏,6000×4000,2400万,
143,消费，长焦,4998,1英寸,,MOS,松下ZS220,,触摸屏,,2010万,
144,旁轴数码,2.6万,,,CMOS,徕卡M(Typ 240),电子控制纵走式焦平面快门,高清屏,5952×3976,2400万,工艺 做工 设计
145,消费，卡片，长焦，广角,1599,1/2.3英寸,,背照式CMOS（Exmor R CMOS）,索尼HX50,,高清屏,5184×2920,2040万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观 夜拍 感光 使用体验 使用
146,消费，卡片，专业,4958,1英寸,高感光度13.2x8.8mm,CMOS,佳能G3 X,,触摸屏,,2020万,工艺 做工 设计 操作 操控性 可玩性 体积 厚度
147,中端单反,5800,APS-C画幅（23.5*15.7mm）,,CMOS,尼康D7500(单机),电子控制纵走式焦平面快门，电子前帘快门（适用于反光板弹起释放模式）,触摸屏，旋转屏,5568×3712,2088万,追焦 追踪 手感 触感 握感 握把 握持 质感 手柄
148,高端单反,1.26万,全画幅（36*24mm）,自动，手动，添加除尘数据,CMOS,佳能5Ds套机(24-105mm),电子控制焦平面快门,高清屏,,5060万,
149,入门单反,5999,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能750D套机(18-135mm),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
150,入门单反,4159,APS画幅（23.5*15.6mm）,图像传感器清洁，气流控制系统，图像除尘参考数据（需搭配另购的Capture NX 2 软件）,CMOS,尼康D5300套机(18-140mm),电子控制纵走式焦平面快门,旋转屏，高清屏,,2416万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
151,高端单反,1.34万,全画幅（35.9*24mm）,清洁影像传感器、图像除尘参考数据（需要捕影工匠软件）,CMOS,尼康D750套机(24-120mm),电子控制纵走式焦平面快门,翻转屏，高清屏,6016×4016,2432万,手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 外壳 机身 质地 工艺 做工 设计 体积 厚度 操作 操控性 可玩性 追焦 追踪
152,微单,4499,23.5×15.7mm,"带原色滤镜的APS-C CMOS
传感器清洁系统：超声波振动",CMOS,富士X-T100(单机),焦平面快门,触摸屏,,2420万,结构 外形 外观
153,微单,3199,APS-C画幅（23.5*15.7mm）,,CMOS,富士X-A5(单机),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,
154,消费，卡片，长焦,1349,1/2.3英寸,,Exmor R CMOS,索尼WX350,,高清屏,4896×3672,1820万,工艺 做工 设计 结构 外形 外观 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 手感 触感 握感 握把 握持 质感 手柄
155,单电,2850,4/3画幅（17.3*13mm）,超声波除尘（传感器除尘系统）,Live MOS,奥林巴斯E-M10(单机),电子控制焦平面快门,触摸屏，翻转屏,4608×3456,1610万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 防抖性 防抖 机震 夜拍 感光
156,消费，卡片,5188,1英寸,,Exmor RS CMOS,索尼RX100 IV,电子快门,旋转屏,,2010万,菜单功能 按键 功能 工艺 做工 设计
157,单电,5928,APS画幅（23.6*15.6mm）,传感器清洁系统：超声波振动,X-Trans CMOS II,富士X-T1(单机),焦平面快门,翻转屏，高清屏,4896×3264,1630万,工艺 做工 设计 结构 外形 外观 追焦 追踪
158,卡片相机,3499,APS画幅,,CMOS,富士XF10,机械电子快门,触摸屏,,,结构 外形 外观 工艺 做工 设计
159,卡片，消费，三防,4499,1英寸（13.2*8.8mm）,,Exmor RS CMOS,索尼RX0,电子快门,,4800×3200,1530万,
160,消费，长焦，广角,1799,1/2.3英寸,,Super HAD CCD,索尼H400,,高清屏,5152×3864,2010万,防抖性 防抖 机震 结构 外形 外观
161,微单,1999,13.2×8.8mm,传感器格式：CX,背照式CMOS,尼康1 J5(单机),电子快门,触摸屏，旋转屏,,2081万,操作 操控性 可玩性
162,,3080,,,,索尼DSC-HX99,,,,,
163,微单,3599,APS画幅（23.5*15.6mm）,,Exmor APS HD CMOS,索尼ILCE-6000套机(E PZ 16-50mm),电子控制纵走式焦平面快门,高清屏，翻转屏,6000×4000,2430万,手感 触感 握感 握把 握持 质感 手柄 失败率 外壳 机身 质地 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 追焦 追踪 操作 操控性 可玩性 防抖性 防抖 机震
164,微单,9990,APS-C画幅（23.6*15.6mm）,APS-X,X-Trans CMOS III,富士X-PRO 2(单机),机械电子快门,液晶显示器,,2430万,手感 触感 握感 握把 握持 质感 手柄 结构 外形 外观
165,中端单反,6199,APS画幅（22.3*14.9mm）,,CMOS,佳能80D套机(EF-S 18-55mm IS STM),电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,双卡 双待 追焦 追踪 使用体验 使用 结构 外形 外观 手感 触感 握感 握把 握持 质感 手柄
166,高端单反,26.8万,中画幅（53.4*40.0mm）,,CMOS,哈苏H6D-100C,,触摸屏,11600×8700,10000万,
167,消费，卡片，专业,2829,1英寸（13.2*8.8mm）,,背照式CMOS（Exmor R CMOS）,索尼RX100 II,,旋转屏,5472×3648,2020万,重量 分量 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 携带 便携性 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
168,微单,6599,全画幅（35.8*23.9mm）,,Exmor CMOS,索尼ILCE-7套机(FE 28-70mm),电子控制纵走式焦平面快门,旋转屏，高清屏,6000×4000,2430万,操作 操控性 可玩性 追焦 追踪 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
169,高端单反,3.35万,全画幅（35.9*23.9mm）,,CMOS,尼康D850套机(24-70mm f/2.8E ED VR),电子控制纵走式焦平面快门,触摸屏，旋转屏,8256×5504,4575万,噪音 声音 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 追焦 追踪
170,入门单反,5999,APS-C画幅（23.5*15.6mm）,,CMOS,宾得KP,电子控制纵走式焦平面快门,TFT彩色液晶显示屏,6016×4000,2432万,体积 厚度 操作 操控性 可玩性 续航 电池
171,微单,1.03万,全画幅（35.6*23.8mm）,,Exmor CMOS,索尼ILCE-7S(单机),电子控制纵走式焦平面快门,翻转屏，高清屏,4240×2832,1220万,菜单功能 按键 功能
172,微单,6199,APS-C画幅（22.3*14.9mm）,"长宽比：3:2
防尘功能：自动，手动，添加除尘数据",CMOS,佳能EOS M50套机(EF-M 18-150mm IS STM),电子控制焦平面快门,旋转屏，触摸屏,,2410万,操作 操控性 可玩性 手感 触感 握感 握把 握持 质感 手柄 体积 厚度 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 工艺 做工 设计 携带 便携性 菜单功能 按键 功能
173,微单,2050,22.3×14.9mm,APS-C画幅,CMOS,佳能EOS M10套机(15-45mm),电子控制焦平面快门,TFT彩色液晶监视器,,1800万,手感 触感 握感 握把 握持 质感 手柄 工艺 做工 设计
174,高端单反,1.43万,全画幅,,CMOS,宾得K-1 Mark II,机械快门,旋转屏,,3640万,
175,入门单反,3948,APS画幅（22.3*14.9mm）,除尘功能：自动，手动，添加除尘数据,CMOS,佳能750D套机(18-55mm),电子控制焦平面快门,高清屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 菜单功能 按键 功能 外壳 机身 质地
176,消费，长焦，广角,1469,1/2.3英寸,,背照式CMOS,柯达PixPro SL25,,,,1635万,
177,入门单反,3088,APS-C画幅（22.3*14.9mm）,,CMOS,佳能EOS 200D单机,电子控制纵走式焦平面快门,触摸屏，旋转屏,6000×4000,2420万,准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观 操作 操控性 可玩性 续航 电池
178,高端单反,1.64万,全画幅（36*23.9mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX2 软件）,CMOS,尼康Df套机(50mm特别版),电子控制纵走式焦平面快门,高清屏,4928×3280,1625万,工艺 做工 设计 携带 便携性 手感 触感 握感 握把 握持 质感 手柄 菜单功能 按键 功能 结构 外形 外观
179,单电,1.95万,全画幅（35.9*24mm）,Super 35mm格式,Exmor R CMOS,索尼A99 II,电子控制纵走式焦平面快门,旋转屏,7952×5304,4240万,
180,卡片,999,,,CMOS,佳能IXUS 285 HS,,LCD,,2020万,菜单功能 按键 功能
181,微单,5800,4/3画幅（17.3*13mm）,,Live MOS,松下G85GK,电子控制纵走式焦平面快门,触摸屏,4592×3448,1600万,手感 触感 握感 握把 握持 质感 手柄
182,消费，广角,4900,1/1.7英寸,,CMOS,徕卡D-lux6,电子快门,高清屏,3648×2736,1010万,工艺 做工 设计 菜单功能 按键 功能
183,中端单反,4699,APS画幅（23.5*15.6mm）,"摄像元件""DR II""机构：超声波抖动除尘，具有灰尘警告功能。
低通滤镜模拟器：基于SR元件的摩尔纹减少功能。关闭，类型1，类型2",CMOS,宾得K-3(单机),电子控制纵走式焦平面快门,高清屏,6016×4000,2435万,工艺 做工 设计 外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄 使用体验 使用 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 结构 外形 外观
184,消费，卡片,4099,1/1.7英寸,,背照式CMOS,卡西欧TR750,电子快门,触摸屏，旋转屏,4000×3000,1110万,工艺 做工 设计
185,微单,1999,APS画幅（23.6*15.6mm）,"配有原色滤镜
传感器清洁系统：超声波振动",X-Trans CMOS,富士X-M1(单机),焦平面快门,旋转屏，高清屏,4896×3264,1630万,结构 外形 外观 外壳 机身 质地 工艺 做工 设计 手感 触感 握感 握把 握持 质感 手柄
186,卡片,699,,,CCD,佳能IXUS 175,,LCD,,2000万,
187,高端单反,4.1万,中画幅（43.8*32.8mm）,无低通滤镜设计,CMOS,宾得645Z(单机),电子控制纵走式焦平面快门,,,5140万,外壳 机身 质地 手感 触感 握感 握把 握持 质感 手柄
188,消费，长焦,1499,1/2.3英寸,,CMOS,佳能SX620 HS,,高清屏,5184×3888,2020万,
189,消费，长焦,6658,1英寸,,MOS,松下FZ2500GK,机械电子快门,触摸屏,4864×3648,2010万,重量 分量
190,入门单反,2188,22.3×14.9mm,,CMOS,佳能3000D(单机),电子控制纵走式焦平面快门,,,1800万,
191,卡片，长焦,1999,1/2.3英寸,,Exmor R CMOS,索尼HX350,,,,2040万,操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素
192,高端单反,价格面议,,,,佳能EOS-1D X Mark III,,,,,
193,中端单反,5799,APS画幅（23.5*15.6mm）,清洁图像传感器，图像除尘参考数据（需要另购的Capture NX 2 软件）,CMOS,尼康D7100套机(18-140mm),电子控制纵走式焦平面快门,高清屏,6000×4000,2410万,工艺 做工 设计 使用体验 使用 手感 触感 握感 握把 握持 质感 手柄 操作 操控性 可玩性 准确率 精度 准确度 清晰度 效率 片率 成功率 像素 外壳 机身 质地 菜单功能 按键 功能
